# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Apr  6 04:04:34 2026
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_insolerr1:   Insolation Flux Upper Unc. [Earth Flux]
# COLUMN pl_insolerr2:   Insolation Flux Lower Unc. [Earth Flux]
# COLUMN pl_insollim:    Insolation Flux Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_meterr1:     Stellar Metallicity Upper Unc. [dex]
# COLUMN st_meterr2:     Stellar Metallicity Lower Unc. [dex]
# COLUMN st_metlim:      Stellar Metallicity Limit Flag
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_loggerr1:    Stellar Surface Gravity Upper Unc. [log10(cm/s**2)]
# COLUMN st_loggerr2:    Stellar Surface Gravity Lower Unc. [log10(cm/s**2)]
# COLUMN st_logglim:     Stellar Surface Gravity Limit Flag
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
# COLUMN sy_vmag:        V (Johnson) Magnitude
# COLUMN sy_vmagerr1:    V (Johnson) Magnitude Upper Unc
# COLUMN sy_vmagerr2:    V (Johnson) Magnitude Lower Unc
# COLUMN sy_kmag:        Ks (2MASS) Magnitude
# COLUMN sy_kmagerr1:    Ks (2MASS) Magnitude Upper Unc
# COLUMN sy_kmagerr2:    Ks (2MASS) Magnitude Lower Unc
# COLUMN sy_gaiamag:     Gaia Magnitude
# COLUMN sy_gaiamagerr1: Gaia Magnitude Upper Unc
# COLUMN sy_gaiamagerr2: Gaia Magnitude Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
HD 183263 c,HD 183263,1,2,Radial Velocity,2008,W. M. Keck Observatory,0,4667.97841000000,18.57225000000,-17.90216000000,0,5.5850000000,0.2280000000,-0.2510000000,0,12.50000000,,,0,1.12000000,,,0,2958.98246917,483.73483545,-579.08335755,0,9.31000000,1.52200000,-1.82200000,0,Mass,0.051000,0.010000,-0.010000,0,,,,,,,,,0,G2 IV,5948.00,27.00,-27.00,0,1.230000,0.020000,-0.020000,0,1.060000,0.136000,-0.136000,0,0.2776,0.0625,-0.0625,0,[Fe/H],4.370000,0.010000,-0.010000,0,19h28m24.55s,292.1022982,+08d21m28.51s,8.3579183,54.19550000,0.11310000,-0.11270000,7.8600000,0.0300000,-0.0300000,6.4220000,0.0180000,-0.0180000,7.7181800,0.0002250,-0.0002250
HD 183579 b,HD 183579,1,1,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),0,17.47129100000,0.00002700000,-0.00002800000,0,0.1322000000,0.0021000000,-0.0022000000,0,3.49000000,0.07000000,-0.06400000,0,0.31135748,0.00624499,-0.00570971,0,20.40000000,2.60000000,-2.50000000,0,0.06418558,0.00818051,-0.00786588,0,Mass,0.061000,0.061000,-0.042000,0,58.1000,5.3000,-3.9000,0,752.00,10.00,-10.00,0,0,G2 V,5784.00,61.00,-61.00,0,0.960000,0.006000,-0.006000,0,0.996000,0.049000,-0.049000,0,-0.0380,0.0400,-0.0400,0,[Fe/H],4.450000,0.100000,-0.100000,0,19h33m08.79s,293.2866147,-54d31m57.82s,-54.5327284,57.26510000,0.18750000,-0.18640000,8.6700000,0.0300000,-0.0300000,7.1500000,0.0270000,-0.0270000,8.5154900,0.0002590,-0.0002590
HD 184010 b,HD 184010,1,3,Radial Velocity,2022,Okayama Astrophysical Observatory,0,286.60000000000,2.40000000000,-0.70000000000,0,0.9400000000,0.0050000000,-0.0010000000,0,12.10000000,,,0,1.08000000,,,0,98.52680617,9.53485221,-12.71313628,0,0.31000000,0.03000000,-0.04000000,0,Msini,0.000000,,,0,,,,,,,,,0,K0 III-IV,4971.00,,,0,4.860000,0.550000,-0.490000,0,1.350000,0.190000,-0.210000,0,-0.1700,0.1000,-0.1000,0,[Fe/H],3.180000,0.080000,-0.070000,0,19h31m21.63s,292.8401421,+26d37m02.21s,26.6172796,60.79930000,0.25480000,-0.25480000,5.8863900,0.0230000,-0.0230000,3.9800000,0.3060000,-0.3060000,5.6450800,0.0013893,-0.0013893
HD 184010 c,HD 184010,1,3,Radial Velocity,2022,Okayama Astrophysical Observatory,0,484.30000000000,5.50000000000,-3.50000000000,0,1.3340000000,0.0130000000,-0.0050000000,0,11.80000000,,,0,1.06000000,,,0,95.34852210,9.53485221,-19.06970442,0,0.30000000,0.03000000,-0.06000000,0,Msini,0.000000,,,0,,,,,,,,,0,K0 III-IV,4971.00,,,0,4.860000,0.550000,-0.490000,0,1.350000,0.190000,-0.210000,0,-0.1700,0.1000,-0.1000,0,[Fe/H],3.180000,0.080000,-0.070000,0,19h31m21.63s,292.8401421,+26d37m02.21s,26.6172796,60.79930000,0.25480000,-0.25480000,5.8863900,0.0230000,-0.0230000,3.9800000,0.3060000,-0.3060000,5.6450800,0.0013893,-0.0013893
HD 184010 d,HD 184010,1,3,Radial Velocity,2022,Okayama Astrophysical Observatory,0,836.40000000000,8.40000000000,-8.40000000000,0,1.9200000000,0.0120000000,-0.0120000000,0,14.30000000,,,0,1.28000000,,,0,143.02278315,12.71313628,-19.06970442,0,0.45000000,0.04000000,-0.06000000,0,Msini,0.000000,,,0,,,,,,,,,0,K0 III-IV,4971.00,,,0,4.860000,0.550000,-0.490000,0,1.350000,0.190000,-0.210000,0,-0.1700,0.1000,-0.1000,0,[Fe/H],3.180000,0.080000,-0.070000,0,19h31m21.63s,292.8401421,+26d37m02.21s,26.6172796,60.79930000,0.25480000,-0.25480000,5.8863900,0.0230000,-0.0230000,3.9800000,0.3060000,-0.3060000,5.6450800,0.0013893,-0.0013893
HD 18438 b,HD 18438,1,1,Radial Velocity,2023,Bohyunsan Optical Astronomical Observatory,0,803.00000000000,5.00000000000,-5.00000000000,0,2.1000000000,0.1000000000,-0.1000000000,0,12.10000000,,,0,1.08000000,,,0,6674.39654700,317.82840700,-317.82840700,0,21.00000000,1.00000000,-1.00000000,0,Msini,0.100000,0.100000,-0.100000,0,,,,,,,,,0,M2.5 III,3860.00,100.00,-100.00,0,88.475000,4.424000,-4.424000,0,1.840000,0.090000,-0.090000,0,-0.4000,0.1000,-0.1000,0,[Fe/H],0.900000,0.100000,-0.100000,0,03h06m07.64s,46.5318358,+79d25m06.89s,79.4185800,224.14600000,9.01700000,-8.35600000,5.5047400,0.0230000,-0.0230000,1.3250000,0.2160000,-0.2160000,4.7319900,0.0048084,-0.0048084
HD 185269 b,HD 185269,3,1,Radial Velocity,2006,Lick Observatory,0,6.83776000000,0.00027000000,-0.00027000000,0,0.0770000000,0.0034000000,-0.0034000000,0,13.80000000,,,0,1.23000000,,,0,321.00830000,4.44962000,-4.44962000,0,1.01000000,0.01400000,-0.01400000,0,Msini,0.229000,0.014000,-0.014000,0,,,,,,,,,0,G0 IV,5923.00,,,0,2.000000,,,0,1.300000,,,0,0.1100,0.0500,-0.0500,0,[Fe/H],3.920000,,,0,19h37m11.70s,294.2987668,+28d29m58.25s,28.4995140,51.99170000,0.08430000,-0.08400000,6.6797300,0.0230000,-0.0230000,5.2600000,0.0180000,-0.0180000,6.5183100,0.0002060,-0.0002060
HD 185283 b,HD 185283,1,1,Radial Velocity,2023,La Silla Observatory,0,4060.00000000000,148.00000000000,-112.00000000000,0,4.6000000000,0.2000000000,-0.1000000000,0,13.60000000,,,0,1.22000000,,,0,413.17692910,95.34852210,-31.78284070,0,1.30000000,0.30000000,-0.10000000,0,Mass,0.070000,0.050000,-0.040000,0,,,,,,,,,0,K3 V,4848.00,155.62,-161.78,0,0.743303,0.062203,-0.064863,0,0.800000,0.040000,-0.040000,0,-0.0600,0.0700,-0.0700,0,[M/H],4.593360,0.140968,-0.076536,0,19h41m17.61s,295.3233609,-56d19m19.59s,-56.3221096,31.39500000,0.05450000,-0.05420000,9.0300000,0.0300000,-0.0300000,6.6010000,0.0200000,-0.0200000,8.7131100,0.0002140,-0.0002140
HD 18599 b,HD 18599,2,1,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),0,4.13743540000,0.00000360000,-0.00000370000,0,0.0480000000,0.0004000000,-0.0004000000,0,2.60000000,0.15000000,-0.13000000,0,0.23195686,0.01338213,-0.01159784,0,24.10000000,7.10000000,-7.70000000,0,0.07582708,0.02233910,-0.02422691,0,Mass,0.340000,0.070000,-0.090000,0,145.0000,16.0000,-12.0000,0,863.00,21.00,-18.00,0,0,K2 V,5145.00,50.00,-50.00,0,0.767000,0.024000,-0.024000,0,0.863000,0.020000,-0.020000,0,0.0000,0.0800,-0.0800,0,[Fe/H],4.540000,0.090000,-0.090000,0,02h57m02.88s,44.2620144,-56d11m30.73s,-56.1918694,38.56530000,0.03660000,-0.03660000,8.9900000,0.0300000,-0.0300000,6.8830000,0.0200000,-0.0200000,8.7311700,0.0006510,-0.0006510
HD 187085 b,HD 187085,1,1,Radial Velocity,2006,Anglo-Australian Telescope,0,1019.74000000000,21.29000000000,-22.58000000000,0,2.1000000000,0.0320000000,-0.0320000000,0,13.90000000,,,0,1.24000000,,,0,265.70588000,3.49613000,-3.49613000,0,0.83600000,0.01100000,-0.01100000,0,Msini,0.251000,0.221000,-0.191000,0,,,,,,,,,0,G0 V,6117.00,27.00,-27.00,0,1.270000,0.066000,-0.066000,0,1.189000,0.023000,-0.023000,0,0.1200,0.0400,-0.0400,0,[Fe/H],4.279000,0.041000,-0.041000,0,19h49m33.98s,297.3915731,-37d46m51.57s,-37.7809929,45.89930000,0.09380000,-0.09350000,7.2200000,0.0300000,-0.0300000,5.8760000,0.0240000,-0.0240000,7.0750800,0.0002460,-0.0002460
HD 187123 b,HD 187123,1,2,Radial Velocity,1998,W. M. Keck Observatory,0,3.09658280000,0.00000780000,-0.00000780000,0,0.0426000000,0.0025000000,-0.0025000000,0,14.20000000,,,0,1.27000000,,,0,166.21800000,13.66600000,-13.66600000,0,0.52300000,0.04300000,-0.04300000,0,Msini,0.010300,0.005900,-0.005900,0,,,,,,,,,0,G3 V,5790.00,157.71,-115.06,0,1.150430,0.055043,-0.064626,0,1.040000,0.112096,-0.159473,0,0.0900,0.1000,-0.1000,0,[M/H],4.333380,0.078913,-0.088384,0,19h46m58.29s,296.7428786,+34d25m08.36s,34.4189900,45.95480000,0.07160000,-0.07140000,7.8300000,0.0300000,-0.0300000,6.3370000,0.0160000,-0.0160000,7.6728400,0.0002340,-0.0002340
HD 187123 c,HD 187123,1,2,Radial Velocity,2008,W. M. Keck Observatory,0,3810.00000000000,420.00000000000,-420.00000000000,0,4.8900000000,0.5300000000,-0.5300000000,0,13.20000000,,,0,1.18000000,,,0,912.16752809,127.13136280,-133.48793094,0,2.87000000,0.40000000,-0.42000000,0,Mass,0.252000,0.033000,-0.033000,0,,,,,,,,,0,G3 V,5790.00,157.71,-115.06,0,1.150430,0.055043,-0.064626,0,1.040000,0.112096,-0.159473,0,0.0900,0.1000,-0.1000,0,[M/H],4.333380,0.078913,-0.088384,0,19h46m58.29s,296.7428786,+34d25m08.36s,34.4189900,45.95480000,0.07160000,-0.07140000,7.8300000,0.0300000,-0.0300000,6.3370000,0.0160000,-0.0160000,7.6728400,0.0002340,-0.0002340
HD 18742 b,HD 18742,1,1,Radial Velocity,2011,W. M. Keck Observatory,0,766.00000000000,25.00000000000,-25.00000000000,0,1.8200000000,0.1400000000,-0.1400000000,0,13.10000000,,,0,1.17000000,,,0,1080.62200000,381.39600000,-381.39600000,0,3.40000000,1.20000000,-1.20000000,0,Msini,0.040000,0.035000,-0.035000,0,,,,,,,,,0,G8/K0 IV,4940.00,,,0,5.130000,,,0,1.360000,,,0,-0.0400,0.0300,-0.0300,0,[Fe/H],3.090000,,,0,03h00m10.63s,45.0443115,-20d48m09.73s,-20.8027024,162.68500000,3.07550000,-3.07550000,7.8100000,0.0300000,-0.0300000,5.5540000,0.0240000,-0.0240000,7.5546400,0.0003560,-0.0003560
HD 188015 b,HD 188015,2,1,Radial Velocity,2004,W. M. Keck Observatory,0,461.20000000000,1.70000000000,-1.70000000000,0,1.2030000000,0.0700000000,-0.0700000000,0,13.60000000,,,0,1.21000000,,,0,476.72000000,41.32000000,-41.32000000,0,1.50000000,0.13000000,-0.13000000,0,Msini,0.137000,0.026000,-0.026000,0,,,,,,,,,0,G5 IV,5746.00,,,0,1.125296,0.026152,-0.026152,0,1.090000,,,0,0.2890,,,0,[Fe/H],4.445000,,,0,19h52m04.60s,298.0191857,+28d05m59.92s,28.0999769,50.67060000,0.10950000,-0.10890000,8.2400000,0.0300000,-0.0300000,6.6320000,0.0180000,-0.0180000,8.0658800,0.0003300,-0.0003300
HD 188641 b,HD 188641,1,1,Radial Velocity,2022,Multiple Observatories,0,14583.81038000000,3328.20988000000,-2616.26788000000,0,12.0270000000,1.8970000000,-1.5670000000,0,11.90000000,,,0,1.06000000,,,0,9333.03117155,1901.88518749,-1179.77904678,0,29.36500000,5.98400000,-3.71200000,0,Mass,0.034000,0.059000,-0.088000,0,,,,,,,,,0,,5897.32,85.35,-116.19,0,1.944920,0.072619,-0.080034,0,1.070000,0.133000,-0.133000,0,-0.0800,0.0300,-0.0300,0,[M/H],3.889650,0.064171,-0.076516,0,19h57m37.16s,299.4048303,-37d44m41.58s,-37.7448845,64.33990000,0.17930000,-0.17840000,7.3400000,0.0300000,-0.0300000,5.8000000,0.0230000,-0.0230000,7.1776100,0.0002880,-0.0002880
HD 189567 b,HD 189567,1,2,Radial Velocity,2021,La Silla Observatory,0,14.28800000000,0.00200000000,-0.00200000000,0,0.1110000000,0.0020000000,-0.0020000000,0,2.85000000,,,0,0.25400000,,,0,8.50000000,0.60000000,-0.60000000,0,0.02674399,0.00188781,-0.00188781,0,Msini,0.189000,,,1,,,,,,,,,0,G3 V,5726.00,15.00,-15.00,0,1.040000,0.030000,-0.030000,0,0.830000,0.010000,-0.010000,0,-0.2400,0.0100,-0.0100,0,[Fe/H],4.410000,0.010000,-0.010000,0,20h05m35.03s,301.3959616,-67d19m25.68s,-67.3237992,17.90550000,0.01240000,-0.01230000,6.0740000,0.0010000,-0.0010000,4.5110000,0.0260000,-0.0260000,5.9098000,0.0006224,-0.0006224
HD 189567 c,HD 189567,1,2,Radial Velocity,2021,La Silla Observatory,0,33.68800000000,0.02500000000,-0.02500000000,0,0.1970000000,0.0030000000,-0.0030000000,0,2.54000000,,,0,0.22700000,,,0,7.00000000,0.90000000,-0.90000000,0,0.02202446,0.00283172,-0.00283172,0,Msini,0.160000,0.090000,-0.090000,0,,,,,,,,,0,G3 V,5726.00,15.00,-15.00,0,1.040000,0.030000,-0.030000,0,0.830000,0.010000,-0.010000,0,-0.2400,0.0100,-0.0100,0,[Fe/H],4.410000,0.010000,-0.010000,0,20h05m35.03s,301.3959616,-67d19m25.68s,-67.3237992,17.90550000,0.01240000,-0.01230000,6.0740000,0.0010000,-0.0010000,4.5110000,0.0260000,-0.0260000,5.9098000,0.0006224,-0.0006224
HD 189733 b,HD 189733,2,1,Radial Velocity,2005,Haute-Provence Observatory,0,2.21857567000,0.00000015000,-0.00000015000,0,0.0312600000,0.0003600000,-0.0003600000,0,12.66617000,0.11209000,-0.11209000,0,1.13000000,0.01000000,-0.01000000,0,359.14790000,25.42640000,-25.42640000,0,1.13000000,0.08000000,-0.08000000,0,Mass,0.000000,,,0,356.0000,13.0000,-12.0000,0,1209.00,11.00,-11.00,0,0,K2 V,5052.00,16.00,-16.00,0,0.750000,0.010000,-0.010000,0,0.790000,0.080000,-0.080000,0,-0.0200,,,0,[Fe/H],4.490000,0.050000,-0.050000,0,20h00m43.71s,300.1821223,+22d42m35.19s,22.7097759,19.76380000,0.01280000,-0.01270000,7.6700000,0.0300000,-0.0300000,5.5410000,0.0210000,-0.0210000,7.4143200,0.0003740,-0.0003740
HD 190007 b,HD 190007,1,1,Radial Velocity,2020,Multiple Observatories,0,11.72412800000,0.00009900000,-0.00009900000,0,0.0920000000,0.0008000000,-0.0008000000,0,4.06000000,,,0,0.36200000,,,0,15.50000000,1.20000000,-1.30000000,0,0.04876845,0.00377562,-0.00409026,0,Msini,0.136000,0.085000,-0.080000,0,,,,,,,,,0,K4 V,4610.00,20.00,-20.00,0,0.790000,0.039000,-0.039000,0,0.770000,0.020000,-0.020000,0,0.1600,0.0500,-0.0500,0,[Fe/H],4.580000,0.020000,-0.020000,0,20h02m46.95s,300.6956339,+03d19m36.12s,3.3266992,12.71410000,0.01010000,-0.01000000,7.4600000,0.0300000,-0.0300000,4.7960000,0.0170000,-0.0170000,7.0634100,0.0002620,-0.0002620
HD 190228 b,HD 190228,1,1,Radial Velocity,2022,Multiple Observatories,0,1143.59858000000,1.76742000000,-1.70680000000,0,2.4060000000,0.0450000000,-0.0470000000,0,12.90000000,,,0,1.15000000,,,0,1598.67688721,378.21580433,-0.95348522,0,5.03000000,1.19000000,-0.00300000,0,Mass,0.559000,0.010000,-0.010000,0,,,,,,,,,0,G5 IV,5360.00,40.00,-40.00,0,2.586580,,,0,1.415000,0.081000,-0.081000,0,-0.2400,0.0600,-0.0600,0,[Fe/H],4.020000,0.100000,-0.100000,0,20h03m00.90s,300.7537294,+28d18m23.60s,28.3065564,62.71460000,0.12105000,-0.12105000,7.3000000,0.0300000,-0.0300000,5.3520000,0.0160000,-0.0160000,7.0848200,0.0001790,-0.0001790
HD 190360 b,HD 190360,2,2,Radial Velocity,2003,Haute-Provence Observatory,0,2892.00000000000,4.00000000000,-3.70000000000,0,3.9630000000,0.0510000000,-0.0540000000,0,13.50000000,,,0,1.20000000,,,0,533.95172376,82.63538582,-50.85254512,0,1.68000000,0.26000000,-0.16000000,0,Mass,0.318400,0.006500,-0.006300,0,,,,,150.00,26.00,-27.00,0,0,G,5552.00,11.00,-11.00,0,1.201000,0.032700,-0.032700,0,0.991000,0.039000,-0.040000,0,0.2500,0.0500,-0.0500,0,[Fe/H],4.298158,0.027810,-0.027810,0,20h03m38.22s,300.9092476,+29d53m40.35s,29.8945410,16.00690000,0.01590000,-0.01590000,5.7380000,0.0220000,-0.0220000,4.0760000,0.0270000,-0.0270000,5.5543600,0.0015590,-0.0015590
HD 190360 c,HD 190360,2,2,Radial Velocity,2005,W. M. Keck Observatory,0,17.11730000000,0.00051000000,-0.00051000000,0,0.1296000000,0.0017000000,-0.0018000000,0,5.44000000,,,0,0.48500000,,,0,25.42627256,15.57359194,-3.49611248,0,0.08000000,0.04900000,-0.01100000,0,Mass,0.165000,0.023000,-0.024000,0,,,,,,,,,0,G,5552.00,11.00,-11.00,0,1.201000,0.032700,-0.032700,0,0.991000,0.039000,-0.040000,0,0.2500,0.0500,-0.0500,0,[Fe/H],4.298158,0.027810,-0.027810,0,20h03m38.22s,300.9092476,+29d53m40.35s,29.8945410,16.00690000,0.01590000,-0.01590000,5.7380000,0.0220000,-0.0220000,4.0760000,0.0270000,-0.0270000,5.5543600,0.0015590,-0.0015590
HD 190647 b,HD 190647,1,1,Radial Velocity,2007,La Silla Observatory,0,1176.45000000000,3.10000000000,-2.83000000000,0,2.2310000000,0.0190000000,-0.0190000000,0,13.40000000,,,0,1.19000000,,,0,630.89255000,10.48839000,-10.48839000,0,1.98500000,0.03300000,-0.03300000,0,Msini,0.224000,0.014000,-0.014000,0,,,,,,,,,0,G5 V,5656.00,60.00,-60.00,0,1.376000,0.089000,-0.089000,0,1.069000,0.027000,-0.027000,0,0.2300,0.0200,-0.0200,0,[Fe/H],4.162000,0.054000,-0.054000,0,20h07m19.64s,301.8318167,-35d32m22.28s,-35.5395236,54.47380000,0.14820000,-0.14750000,7.7800000,0.0300000,-0.0300000,6.1610000,0.0380000,-0.0380000,7.5942000,0.0002480,-0.0002480
HD 190984 b,HD 190984,1,1,Radial Velocity,2009,La Silla Observatory,0,4885.00000000000,1600.00000000000,-1600.00000000000,0,5.5000000000,,,0,13.00000000,,,0,1.16000000,,,0,1137.82569706,381.39408840,-143.02278315,0,3.58000000,1.20000000,-0.45000000,0,Mass,0.570000,0.100000,-0.100000,0,,,,,,,,,0,F8 V,5988.00,25.00,-25.00,0,1.530000,,,0,0.910000,,,0,-0.4800,0.0600,-0.0600,0,[Fe/H],4.020000,0.220000,-0.220000,0,20h11m30.72s,302.8779827,-64d37m12.98s,-64.6202728,148.18700000,0.98900000,-0.97600000,8.7600000,0.0300000,-0.0300000,7.3190000,0.0160000,-0.0160000,8.6112600,0.0001880,-0.0001880
HD 191806 b,HD 191806,1,1,Radial Velocity,2016,Haute-Provence Observatory,0,1603.38923000000,9.94172000000,-11.31279000000,0,2.7490000000,0.1060000000,-0.1180000000,0,12.50000000,,,0,1.12000000,,,0,2966.61035094,292.08430603,-270.78980276,0,9.33400000,0.91900000,-0.85200000,0,Mass,0.213000,0.029000,-0.028000,0,,,,,,,,,0,K0,6010.00,30.00,-30.00,0,1.402230,0.023907,-0.022074,0,1.070000,0.129000,-0.129000,0,0.3000,0.0200,-0.0200,0,[Fe/H],4.450000,0.030000,-0.030000,0,20h09m28.50s,302.3687580,+52d16m36.22s,52.2767265,65.66680000,0.11250000,-0.11200000,8.0900000,0.0300000,-0.0300000,6.6390000,0.0160000,-0.0160000,7.9333900,0.0003090,-0.0003090
HD 191939 b,HD 191939,1,6,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),0,8.88032560000,0.00000470000,-0.00000470000,0,0.0804000000,0.0025000000,-0.0023000000,0,3.41000000,0.07500000,-0.07500000,0,0.30422035,0.00669106,-0.00669106,0,10.00000000,0.70000000,-0.70000000,0,0.03146352,0.00220245,-0.00220245,0,Mass,0.031000,0.010000,-0.011000,0,100.0000,7.0000,-7.0000,0,880.00,20.00,-20.00,0,0,G9 V,5348.00,100.00,-100.00,0,0.940000,0.020000,-0.020000,0,0.810000,0.040000,-0.040000,0,-0.1500,0.0600,-0.0600,0,[Fe/H],4.300000,0.100000,-0.100000,0,20h08m06.15s,302.0256247,+66d51m01.09s,66.8503014,53.60890000,0.07330000,-0.07310000,8.9700000,0.0300000,-0.0300000,7.1800000,0.0210000,-0.0210000,8.7747600,0.0002380,-0.0002380
